Good_Sector,Good_Name
Manufacturing,Alcoholic Beverages
Manufacturing,Artificial Flowers
Manufacturing,Baked Goods
Agriculture,Bamboo
Agriculture,Bananas
Agriculture,Beans (green beans)
Agriculture,"Beans (green, soy, yellow)"
Manufacturing,Beef
Manufacturing,Bidis (hand-rolled cigarettes)
Agriculture,Blueberries
Manufacturing,Brassware
Agriculture,Brazil Nuts/Chestnuts
Manufacturing,Bricks
Manufacturing,Bricks (clay)
Agriculture,Broccoli
Manufacturing,Carpets
Agriculture,Cashews
Agriculture,Cassava
Mining,Cassiterite
Mining,Cassiterite (tin ore)
Agriculture,Cattle
Manufacturing,Cement
Manufacturing,Ceramics
Agriculture,Charcoal
Agriculture,Chile Peppers
Manufacturing,Christmas Decorations
Agriculture,Citrus Fruits
Agriculture,Cloves
Mining,Coal
Agriculture,Coca (stimulant plant)
Agriculture,Cocoa
Agriculture,Coconuts
Agriculture,Coffee
Mining,Coltan (tantalum ore)
Mining,Copper
Agriculture,Corn
Agriculture,Cotton
Agriculture,Cottonseed (hybrid)
Agriculture,Cucumbers
Agriculture,Cumin
Mining,Diamonds
Manufacturing,Dried Fish
Agriculture,Eggplants
Manufacturing,Electronics
Manufacturing,Embellished Textiles
Mining,Emeralds
Manufacturing,Fashion Accessories
Manufacturing,Fireworks
Agriculture,Fish
Agriculture,Flowers
Agriculture,Flowers (poppies)
Mining,Fluorspar (mineral)
Manufacturing,Footwear
Manufacturing,Footwear (sandals)
Manufacturing,Furniture
Manufacturing,Furniture (steel)
Agriculture,Garlic
Manufacturing,Garments
Mining,Gems
Manufacturing,Glass
Manufacturing,Glass Bangles
Agriculture,Goats
Mining,Gold
Mining,Granite
Mining,Granite (crushed)
Agriculture,Grapes
Mining,Gravel (crushed stones)
Mining,Gypsum (mineral)
Agriculture,Hazelnuts
Mining,Heterogenite (cobalt ore)
Agriculture,Hogs
Manufacturing,Incense (agarbatti)
Mining,Iron
Mining,Jade
Manufacturing,Leather
Manufacturing,Leather Goods/Accessories
Agriculture,Lobsters
Manufacturing,Locks
Agriculture,Manioc/Cassava
Manufacturing,Matches
Manufacturing,Meat
Agriculture,Melons
Agriculture,Miraa (stimulant plant)
Manufacturing,Nails
Agriculture,Nile Perch (fish)
Agriculture,Oil (Palm)
Agriculture,Olives
Agriculture,Onions
Agriculture,Palm Thatch
Agriculture,Peanuts
Agriculture,Physic Nuts/Castor Beans
Agriculture,Pineapples
Other,Pornography
Agriculture,Poultry
Agriculture,Pulses (legumes)
Manufacturing,Pyrotechnics
Agriculture,Rice
Agriculture,Rubber
Mining,Rubies
Mining,Salt
Mining,Sand
Mining,Sapphires
Agriculture,Sesame
Agriculture,Shellfish
Agriculture,Shrimp
Manufacturing,Silk Fabric
Manufacturing,Silk Thread
Mining,Silver
Agriculture,Sisal
Manufacturing,Soap
Manufacturing,Soccer Balls
Mining,Stones
Mining,Stones (limestone)
Mining,Stones (pumice)
Agriculture,Strawberries
Agriculture,Sugar Beets
Agriculture,Sugarcane
Agriculture,Sunflowers
Manufacturing,Surgical Instruments
Mining,Tanzanite (gems)
Agriculture,Tea
Agriculture,Teak
Manufacturing,Textiles
Manufacturing,Textiles (hand-woven)
Manufacturing,Textiles (jute)
Manufacturing,Thread/Yarn
Agriculture,Tilapia (fish)
Agriculture,Timber
Mining,Tin
Agriculture,Tobacco
Agriculture,Tomatoes
Manufacturing,Toys
Mining,Trona (mineral)
Agriculture,Vanilla
Agriculture,Wheat
Mining,Wolframite (tungsten ore)
Agriculture,Yerba Mate (stimulant plant)
Mining,Zinc
